1,2,3,4,5,6,7
BitcoinVM,Infra,Layer2,Modular,N,N,N
Ethereum Follow Protocol,Social,Social Graph,N,N,N,N
Tether,CeFi,Stablecoin Issuers,N,N,N,N
Binance.US,CeFi,CEX,N,N,N,N
SolanaPrimePRIME,Launchpad,N,N,N,N,N
circle.tech,Social,SocialFi,N,N,N,N
RippleXRP,Enterprise Blockchain,Payments,N,N,N,N
DogecoinDOGE,Digital Currency,Meme,N,N,N,N
The Open NetworkTON,Infra,Layer1,N,N,N,N
CardanoADA,Infra,Layer1,N,N,N,N
TronTRX,Infra,Layer1,N,N,N,N
Shiba InuSHIB,Meme,N,N,N,N,N
AvalancheAVAX,Infra,Layer1,N,N,N,N
ChainlinkLINK,Infra,Oracle,N,N,N,N
Bitcoin CashBCH,Digital Currency,PoW,N,N,N,N
PolkadotDOT,Infra,N,N,N,N,N
SuiSUI,Infra,Layer1,N,N,N,N
LitecoinLTC,Digital Currency,PoW,N,N,N,N
NEAR ProtocolNEAR,Infra,Layer1,N,N,N,N
UniswapUNI,DeFi,DEX,N,N,N,N
AptosAPT,Infra,Layer1,N,N,N,N
PEPEPEPE,Meme,N,N,N,N,N
Internet Computer / DfinityICP,Infra,Layer1,N,N,N,N
BittensorTAO,Infra,Layer1,AI,Polkadot Parachain,N,N
Fetch.aiFET,Infra,Layer1,AI,Data Market,N,N
KaspaKAS,Infra,Layer1,PoW,DAG,N,N
MoneroXMR,Digital Currency,PoW,Privacy,N,N,N
Ethereum ClassicETC,Infra,Layer1,PoW,N,N,N
StellarXLM,Infra,Layer1,N,N,N,N
RenderRNDR,Infra,Cloud Computing,AI,N,N,N
Polygon Zero,Infra,Layer2,zk,N,N,N
StacksSTX,Infra,Layer2,Bitcoin Ecosystem,N,N,N
DogwifhatWIF,Meme,N,N,N,N,N
OKXOKB,CeFi,CEX,N,N,N,N
AaveAAVE,DeFi,Lending,N,N,N,N
Arbitrum / Offchain LabsARB,Infra,Layer2,N,N,N,N
FilecoinFIL,Infra,Layer1,N,N,N,N
OptimismOP,Infra,Layer2,N,N,N,N
Mantle NetworkMNT,Infra,Layer2,Modular,N,N,N
cryptonews24,Crypto Media,N,N,N,N,N
Immutable XIMX,NFT,Infra,Layer2,N,N,N
CelestiaTIA,Infra,Modular,DA,N,N,N
THORChainRUNE,Infra,Layer1,N,N,N,N
InjectiveINJ,Infra,Layer1,Derivatives,N,N,N
Sonic,Infra,Gaming Solutions,N,N,N,N
HederaHBAR,Infra,Layer1,N,N,N,N
VechainVET,Infra,Layer1,N,N,N,N
CosmosATOM,Infra,N,N,N,N,N
BitgetBGB,CeFi,CEX,N,N,N,N
PoPP,Social,DID,N,N,N,N
BonkBONK,Meme,N,N,N,N,N
Sei NetworkSEI,Infra,Layer1,Parallel EVM,N,N,N
The GraphGRT,Infra,Dev Platform,Blockchain API,N,N,N
Pyth NetworkPYTH,Infra,Oracle,N,N,N,N
FLOKIFLOKI,Meme,N,N,N,N,N
MANTRAOM,Infra,Layer1,RWA,N,N,N
JupiterJUP,DeFi,DEX,Derivatives,DEX Aggregator,Perp,Launchpad
ZeebuZBU,Tools,N,N,N,N,N
WorldcoinWLD,Digital Currency,N,N,N,N,N
Theta NetworkTHETA,Infra,Layer1,Streaming Media,N,N,N
OthersideAPE,NFT,Metaverse,N,N,N,N
Sky Meta,Games Guild,N,N,N,N,N
KuCoinKCS,CeFi,CEX,N,N,N,N
HeliumHNT,IOT,DePIN,Decentralized Wireless,N,N,N
ArweaveAR,Infra,Storage Network,N,N,N,N
Ondo FinanceONDO,DeFi,RWA,Asset Management,N,N,N
Bitcoin Virtual MachineBVM,Infra,Layer2,Bitcoin Ecosystem,N,N,N
EthenaENA,N,N,N,N,N,N
AlgorandALGO,Infra,Layer1,N,N,N,N
LidoLDO,DeFi,LSD,N,N,N,N
Breakout,CeFi,Market Makers,N,N,N,N
JasmyJASMY,IOT,Data Market,N,N,N,N
Merit CircleBEAM,Games Guild,N,N,N,N,N
RaydiumRAY,DeFi,DEX,N,N,N,N
BitTorrentBTT,Infra,Layer1,N,N,N,N
FastexFTN,Technology Solutions,N,N,N,N,N
Core,Infra,Wallet,N,N,N,N
KaiaSwap,DeFi,DEX,N,N,N,N
Flow,NFT,N,N,N,N,N
Tokenize XchangeTKX,CeFi,CEX,N,N,N,N
Timeworx,Freelancer market,N,N,N,N,N
AerodromeAERO,DeFi,DEX,Lending,N,N,N
Gate.ioGT,CeFi,CEX,N,N,N,N
StarkNetSTRK,Infra,Layer2,N,N,N,N
PendlePENDLE,DeFi,Derivatives,Yield Tokenization,N,N,N
Mogaland,Education Solution,N,N,N,N,N
PendlePENDLE,DeFi,Derivatives,Yield Tokenization,N,N,N
SphinxSPX,Prediction market,N,N,N,N,N
Axie InfinityAXS,Gaming,N,N,N,N,N
Quantura,Tools,Trading robot,N,N,N,N
GalaGALA,Gaming,Game Platforms,N,N,N,N
Ordict,Ordinals,DID,N,N,N,N
EOSEOS,Infra,Layer1,N,N,N,N
eCashXEC,Digital Currency,N,N,N,N,N
Flare NetworkFLR,Infra,Layer1,N,N,N,N
NeoNEO,Infra,Layer1,N,N,N,N
NotcoinNOT,Gaming,N,N,N,N,N
dYdXDYDX,DeFi,Derivatives,Appchain,Perp,N,N
ConfluxCFX,Infra,Layer1,N,N,N,N
MultiversXEGLD,Infra,Layer1,N,N,N,N
